"ids","department","bases","experience","raises","salary","simple.model","random.intercpet.preds","random.slope.preds","random.slope.int.preds"
38,"english",58050.4012182355,7,477.522274106741,61393.0571369827,67486.711646632,64766.2100526076,63774.213151249,63785.2514114567
39,"informatics",66851.5744875185,3,1594.27801388782,71634.408529182,62568.7473324132,76044.077695888,68538.5748284623,74960.0016978463
40,"statistics",72620.1833188534,0,509.308250364847,72620.1833188534,58880.274096749,77342.3923541102,59102.0754412273,78110.3232077603
41,"sociology",39309.9714126438,4,2059.33634750545,47547.3168026656,63798.2384109679,47957.0960678864,54322.8902789136,47806.3005060554
42,"biology",45841.132143978,2,476.702956180088,46794.5380563382,61339.2562538585,50117.4906678367,57129.0296643167,51325.0617829225
43,"english",61218.420532532,4,451.128688431345,63022.9352862574,63798.2384109679,62163.8069502418,61771.8684183825,62294.0758828027
44,"informatics",65934.8557377234,1,1741.34142894763,67676.197166671,60109.7651753037,74309.1422943108,62247.5752369723,72184.9671015674
45,"statistics",77978.2501123846,3,524.2881241953,79551.1144849705,62568.7473324132,79944.795456476,70185.8167912784,80186.0293657838
46,"sociology",43581.2987033278,0,2043.78122780472,43581.2987033278,58880.274096749,44487.2252647321,59102.0754412273,40760.1372887103
47,"biology",54401.442327071,7,496.630371292122,57877.8549261158,67486.711646632,54454.8291717797,52196.4152220403,52704.9881952329
48,"english",61500.0450639054,4,504.940368258394,63519.806536939,63798.2384109679,62163.8069502418,61771.8684183825,62294.0758828027
49,"informatics",70572.4054640159,8,1734.84918543138,84451.1989474669,68716.2027251867,80381.416199831,84266.0738071872,81897.5881885435
50,"statistics",74788.8079546392,7,520.161234471016,78429.9365959363,67486.711646632,83414.6662596304,84964.1385913464,82953.6375764817
51,"sociology",40195.8382669836,4,1925.69920299575,47898.6350789666,63798.2384109679,47957.0960678864,54322.8902789136,47806.3005060554
52,"biology",52240.1360329241,0,452.642987808213,52240.1360329241,58880.274096749,48382.5552662596,59102.0754412273,50773.0912179984
53,"english",64593.8326092437,0,458.138555521145,64593.8326092437,58880.274096749,58693.9361470874,59102.0754412273,60305.8418445975
54,"informatics",65458.9918958955,7,1693.97132345475,77316.7911600787,67486.711646632,79513.9484990424,81120.5740114422,80510.0708904041
55,"statistics",81569.2811198533,5,546.876652911306,84303.6643844098,65027.7294895226,81679.7308580532,77574.9776913124,81569.8334711328
56,"sociology",42314.8659076542,2,1806.48425677791,45927.83442121,61339.2562538585,46222.1606663092,56712.4828600704,44283.2188973829
57,"biology",49256.341017317,5,504.810573440045,51780.3938845173,65027.7294895226,52719.8937702025,54169.4609989509,52153.0176303087
58,"english",65938.6176131666,0,515.68961716257,65938.6176131666,58880.274096749,58693.9361470874,59102.0754412273,60305.8418445975
59,"informatics",72379.4281850569,9,1853.49488558713,89060.8821553411,69945.6938037414,81248.8839006196,87411.5736029322,83285.105486683
60,"statistics",85664.3419526517,7,458.51404115092,88873.9402407082,67486.711646632,83414.6662596304,84964.1385913464,82953.6375764817
61,"sociology",41342.3359952867,2,2053.57187567279,45449.4797466323,61339.2562538585,46222.1606663092,56712.4828600704,44283.2188973829
62,"biology",52404.65617273,0,515.217902301811,52404.65617273,58880.274096749,48382.5552662596,59102.0754412273,50773.0912179984
63,"english",56053.4572284669,8,469.256685511209,59807.5107125565,68716.2027251867,65633.6777533962,64441.6613955378,64282.309921008
64,"informatics",75334.4114474021,6,1544.63850874919,84602.2424998973,66257.2205680773,78646.4807982538,77975.0742156972,79122.5535922646
65,"statistics",74548.9036254585,1,479.089629463851,75027.9932549223,60109.7651753037,78209.8600548988,62796.6558912443,78802.2252604348
66,"sociology",40066.5182285011,5,2001.74801200628,50075.2582885325,65027.7294895226,48824.563768675,53128.0939883352,49567.8413103917
67,"biology",46900.309517514,3,459.167837840505,48277.8130310355,62568.7473324132,50984.9583686253,56142.5067758614,51601.0470653846
68,"english",56608.150055632,7,509.313961444423,60173.347785743,67486.711646632,64766.2100526076,63774.213151249,63785.2514114567
69,"informatics",71006.4093554393,5,1760.59606022667,79809.3896565726,65027.7294895226,77779.0130974652,74829.5744199522,77735.0362941252
70,"statistics",75033.2206450403,5,484.997611306608,77458.2087015733,65027.7294895226,81679.7308580532,77574.9776913124,81569.8334711328
71,"sociology",38072.9578081518,2,2123.73204007745,42320.4218883067,61339.2562538585,46222.1606663092,56712.4828600704,44283.2188973829
72,"biology",54124.6531903744,0,508.344944776036,54124.6531903744,58880.274096749,48382.5552662596,59102.0754412273,50773.0912179984
73,"english",59061.8769479916,5,459.323757863604,61358.4957373096,65027.7294895226,63031.2746510304,62439.3166626714,62791.134392354
74,"informatics",75328.2048073597,1,1797.91718852706,77126.1219958868,60109.7651753037,74309.1422943108,62247.5752369723,72184.9671015674
75,"statistics",87851.7508618534,4,543.932774546556,90027.4819600396,63798.2384109679,80812.2631572646,73880.3972412954,80877.9314184583
76,"sociology",38128.0816681683,1,1889.10348694772,40017.185155116,60109.7651753037,45354.6929655206,57907.2791506489,42521.6780930466
77,"biology",54154.9179004505,0,515.725165419281,54154.9179004505,58880.274096749,48382.5552662596,59102.0754412273,50773.0912179984
78,"english",64028.2234372571,1,497.696420853026,64525.9198581101,60109.7651753037,59561.403847876,59769.5236855161,60802.9003541488
79,"informatics",73889.5844477229,4,1750.10301313363,80889.9965002574,63798.2384109679,76911.5453966766,71684.0746242072,76347.5189959857
80,"statistics",79077.8633728623,4,506.404570140876,81103.4816534258,63798.2384109679,80812.2631572646,73880.3972412954,80877.9314184583
81,"sociology",38185.5843644589,5,1834.66880479828,47358.9283884503,65027.7294895226,48824.563768675,53128.0939883352,49567.8413103917
82,"biology",45060.6417818926,5,544.023966835812,47780.7616160717,65027.7294895226,52719.8937702025,54169.4609989509,52153.0176303087
83,"english",60422.7098822594,9,544.989876146428,65327.6187675772,69945.6938037414,66501.1454541847,65109.1096398266,64779.3684305593
84,"informatics",64042.0490470715,9,1672.3462906247,79093.1656626938,69945.6938037414,81248.8839006196,87411.5736029322,83285.105486683
85,"statistics",84952.8794847429,6,517.893720790744,88060.2418094873,66257.2205680773,82547.1985588418,81269.5581413294,82261.7355238072
86,"sociology",40240.5505944043,5,2086.22728437185,50671.6870162636,65027.7294895226,48824.563768675,53128.0939883352,49567.8413103917
87,"biology",51648.2658591122,9,521.220751944929,56339.2526266165,69945.6938037414,56189.7645733569,50223.3694451297,53256.958760157
88,"english",59286.3912563771,1,522.02917765826,59808.4204340354,60109.7651753037,59561.403847876,59769.5236855161,60802.9003541488
89,"informatics",66921.7271376401,8,1623.98601091001,79913.6152249202,68716.2027251867,80381.416199831,84266.0738071872,81897.5881885435
90,"statistics",74305.1366172731,9,540.409632679075,79168.8233113848,69945.6938037414,85149.6016612075,92353.2994913804,84337.4416818307
91,"sociology",41267.5788067281,9,1964.6520239301,58949.447022099,69945.6938037414,52294.4345718294,48348.9088260215,56614.0045277368
92,"biology",45952.558380086,0,521.33439690806,45952.558380086,58880.274096749,48382.5552662596,59102.0754412273,50773.0912179984
93,"english",54589.6337823942,6,543.33903058432,57849.6679659002,66257.2205680773,63898.742351819,63106.7649069602,63288.1929019053
94,"informatics",67152.6046167128,5,1790.0030158693,76102.6196960593,65027.7294895226,77779.0130974652,74829.5744199522,77735.0362941252
95,"statistics",83320.5320388079,9,498.014079406857,87802.6587534696,69945.6938037414,85149.6016612075,92353.2994913804,84337.4416818307
96,"sociology",37209.1015148908,1,1891.51207106188,39100.6135859527,60109.7651753037,45354.6929655206,57907.2791506489,42521.6780930466
97,"biology",49452.0538579673,2,457.233837549575,50366.5215330664,61339.2562538585,50117.4906678367,57129.0296643167,51325.0617829225
98,"english",54872.8010393679,2,479.755109106191,55832.3112575803,61339.2562538585,60428.8715486646,60436.9719298049,61299.9588637001
99,"informatics",71117.1508310363,4,1847.77777015697,78508.2619116642,63798.2384109679,76911.5453966766,71684.0746242072,76347.5189959857
100,"statistics",76196.9964876771,4,485.881299967878,78140.5216875486,63798.2384109679,80812.2631572646,73880.3972412954,80877.9314184583
